"fishery","catch_units","total_catch","mean_harvest_fraction","max_harvest_fraction","active_years"
1,"numbers",30448.347,0.0121577111377293,0.03519143843558,268
2,"numbers",2979.468,0.00445347319762657,0.0116393708148762,113
3,"numbers",11791.757,0.0379446251574712,0.152788190711549,244
4,"numbers",41998.935,0.0407305013459731,0.151819205727943,268
5,"numbers",3895.899,0.00083909921700174,0.00294056241310906,268
6,"numbers",5919.12,0.00379920716491169,0.0175786348127741,266
7,"numbers",515.185,0.000746209764355407,0.00365567220323576,129
8,"weight",1609141.772,0.212757307945778,0.71774924054482,199
9,"weight",186351.168,0.0136575675474013,0.0681333523278516,189
10,"weight",387148.6,0.0748312979396163,0.192547822612404,196
11,"weight",34070,0.0106187667764892,0.0733170206027459,196
12,"weight",33528.8,0.00292194196378784,0.0340342246330469,260
13,"weight",136226,0.00547483006625757,0.0335048275146085,268
14,"weight",135538.5,0.0227175855610201,0.0691307004107052,188
15,"numbers",0,NA,-Inf,0
