"index","n","MAR","SDNR","LCI","HCI"
"All indices",268,0.379400599505949,0.565284483323175,0.521135332843187,0.61766985562295
"February",67,0.50704191415849,0.614998852825116,0.525635669615629,0.741256286433701
"May",67,0.354017842851412,0.491792955381662,0.420332360339863,0.592756585034036
"August",67,0.387713550026685,0.607839010678802,0.519516197353799,0.732626550009887
"November",67,0.353124019209644,0.550153329108619,0.470212606428241,0.663098169745949
